Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
8/30/2019,607,15:03,27.78,ShCr05,538,21.5,8.91,0.26,,7.94,
9/18/2019,626,12:18,21.11,ShCr05,630,16.4,8.54,0.31,4.59,8.5,
10/2/2019,640,15:28,30.56,ShCr05,593,22.3,8.23,0.23,,8.87,
10/23/2019,661,15:32,14.44,ShCr05,535.4,11.8,8.4,0.26,,10.75,37.94
11/14/2019,683,16:10,-3,ShCr05,515,4.4,8.47,0.25,2.19,14.29,15.39
11/20/2019,689,13:25,4.44,ShCr05,568.6,6.3,8.42,0.28,,8.82,27.81
12/11/2019,710,11:46,-3.33,ShCr05,408.4,3.2,7.77,0.2,,,14.35
12/18/2019,717,12:22,-3.33,ShCr05,420.6,3.3,7.86,0.2,,18.99,23.16
12/26/2019,725,10:58,7.22,ShCr05,493.6,3.6,7.94,0.24,,17.56,26.17
1/10/2020,740,8:56,8.33,ShCr05,487.3,5.1,8.99,0.24,,13.75,33.14
2/20/2020,781,,,ShCr05,450.2,3.8,8.27,0.22,4.05,13.16,20.48
3/9/2020,799,12:53,15,ShCr05,437.2,8,8.62,0.21,,13.35,23.99
3/26/2020,816,10:48,10,ShCr05,387.4,7.7,8.38,0.19,,13.37,25.47
4/10/2020,831,10:32,2.22,ShCr05,377.6,6.5,8.36,0.18,,11.14,42.59
5/1/2020,852,10:39,8.89,ShCr05,334,10.5,8.41,0.16,,10.63,29.03
5/8/2020,859,11:57,9.44,ShCr05,394.2,10,8.52,0.19,,11.07,32.37
5/13/2020,864,10:44,12.78,ShCr05,393.9,9,8.59,0.19,,15.8,35.78
5/20/2020,871,10:53,10,ShCr05,474,12,8.42,0.23,,11.25,27.82
5/28/2020,879,11:25,20.56,ShCr05,435.7,18.5,8.17,0.21,,8.25,42.92
6/5/2020,887,14:03,23.89,ShCr05,480.1,18.9,8.32,0.23,,8.43,59.77
6/9/2020,891,12:09,28.89,ShCr05,507,19.2,8.36,0.25,,8.47,
6/23/2020,905,10:09,21.11,ShCr05,537.6,19.5,8.38,0.26,,8.48,
6/29/2020,911,10:30,23.89,ShCr05,493,19.9,8.32,0.24,68.73,8.13,22.7
7/8/2020,920,9:56,23.89,ShCr05,542,21.5,8.43,0.26,,8.04,23.9
7/29/2020,941,12:05,28.89,ShCr05,457.6,21.8,8.44,0.22,5.6,7.93,40.4
8/4/2020,947,11:04,23.33,ShCr05,569,20.6,8.46,0.28,12.44,7.88,57.31
8/12/2020,955,10:33,25.56,ShCr05,645,20.6,8.39,0.31,7.93,7.42,64.96
8/19/2020,962,14:40,25,ShCr05,645,20.5,8.8,0.31,7.19,8.74,54.65
8/26/2020,969,15:39,29.44,ShCr05,592,22.6,8.62,0.29,11.1,7.69,65.74
9/2/2020,976,15:43,25,ShCr05,406.4,22.3,8.4,0.19,208,6.43,29.12
9/9/2020,983,14:05,29.44,ShCr05,573,22.3,8.45,0.28,70.9,8.1,36.98
